Longitude (¡ÆE),Depth (meter)
130.9302143,0
130.9344286,323.45
130.9386429,428.52
130.9428571,536.27
130.9470714,644.44
130.9512857,746.32
130.9555,868.17
130.9597143,953.99
130.9639286,1032.3
130.9681429,1102.22
130.9723571,1163.26
130.9765714,1221.21
130.9807857,1270
130.985,1312.46
130.9892143,1351.81
130.9934286,1391.55
130.9976429,1432.76
131.0018571,1475.08
131.0060714,1518.1
131.0102857,1562.59
131.0145,1608.87
131.0187143,1656.53
131.0229286,1705.56
131.0271429,1755.45
131.0313571,1803.11
131.0355714,1846.225071
131.0397857,1884.915214
131.044,1919.430429
131.0482143,1949.470714
131.0524286,1974.786071
131.0566429,1995.3165
131.0608571,2011.372
131.0650714,2023.102571
131.0692857,2030.878214
131.0735,2036.228929
131.0777143,2041.579643
131.0819286,2046.930357
131.0861429,2052.281071
131.0903571,2057.631786
131.0945714,2062.9825
131.0987857,2068.333214
131.103,2073.683929
131.1072143,2079.034643
131.1114286,2084.385357
131.1156429,2089.736071
131.1198571,2094.484571
131.1240714,2099.212286
131.1282857,2103.919214
131.1325,2108.605357
131.1367143,2113.270714
131.1409286,2117.915286
131.1451429,2122.539071
131.1493571,2127.142071
131.1535714,2131.724286
131.1577857,2136.285714
131.162,2141.428571
131.1662143,2146.571429
131.1704286,2151.714286
131.1746429,2156.857143
131.1788571,2162
131.1830714,2167.142857
131.1872857,2172.285714
131.1915,2177.428571
131.1957143,2182.571429
131.1999286,2187.714286
131.2041429,2192.857143
131.2083571,2198
131.2125714,2203.142857
131.2167857,2208.285714
131.221,2213.428571
131.2252143,2218.571429
131.2294286,2223.714286
131.2336429,2228.801964
131.2378571,2233.779286
131.2420714,2238.591071
131.2462857,2243.182143
131.2505,2247.497321
131.2547143,2251.481429
131.2589286,2255.079286
131.2631429,2258.235714
131.2673571,2260.895536
131.2715714,2263.003571
131.2757857,2264.615
131.28,2265.785
131.2842143,2266.56875
131.2884286,2267.021429
131.2926429,2267.198214
131.2968571,2267.154286
131.3010714,2266.944821
131.3052857,2266.625
131.3095,2266.25
131.3137143,2265.875
131.3179286,2265.5
131.3221429,2265.125
131.3263571,2264.75
131.3305714,2264.375
131.3347857,2264
131.339,2263.625
131.3432143,2263.25
131.3474286,2262.875
131.3516429,2262.5
131.3558571,2262.125
131.3600714,2261.75
131.3642857,2261.375
131.3685,2261
131.3727143,2260.625
131.3769286,2260.25
131.3811429,2259.875
131.3853571,2259.5
131.3895714,2259.125
131.3937857,2258.75
131.398,2258.375
131.4022143,2257.984306
131.4064286,2257.562222
131.4106429,2257.093056
131.4148571,2256.561111
131.4190714,2255.950694
131.4232857,2255.246111
131.4275,2254.431667
131.4317143,2253.491667
131.4359286,2252.410417
131.4401429,2251.172222
131.4443571,2249.792778
131.4485714,2248.287778
131.4527857,2246.672917
131.457,2244.963889
131.4612143,2243.176389
131.4654286,2241.326111
131.4696429,2239.42875
131.4738571,2237.5
131.4780714,2235.555556
131.4822857,2233.611111
131.4865,2231.666667
131.4907143,2229.722222
131.4949286,2227.777778
131.4991429,2225.833333
131.5033571,2223.888889
131.5075714,2221.944444
131.5117857,2220
131.516,2218.055556
131.5202143,2216.111111
131.5244286,2214.166667
131.5286429,2212.222222
131.5328571,2210.277778
131.5370714,2208.333333
131.5412857,2206.388889
131.5455,2204.444444
131.5497143,2202.5
131.5539286,2200.555556
131.5581429,2198.611111
131.5623571,2196.666667
131.5665714,2194.722222
131.5707857,2192.777778
131.575,2190.833333
131.5792143,2188.888889
131.5834286,2186.944444
131.5876429,2185
131.5918571,2183.055556
131.5960714,2181.111111
131.6002857,2179.166667
131.6045,2177.222222
131.6087143,2175.277778
131.6129286,2173.333333
131.6171429,2171.388889
131.6213571,2169.444444
131.6255714,2167.5
131.6297857,2165.564474
131.634,2163.646784
131.6382143,2161.755848
131.6424286,2159.900585
131.6466429,2158.089912
131.6508571,2156.332749
131.6550714,2154.638012
131.6592857,2153.01462
131.6635,2151.471491
131.6677143,2150.017544
131.6719286,2148.64386
131.6761429,2147.34152
131.6803571,2146.101608
131.6845714,2144.915205
131.6887857,2143.773392
131.693,2142.667251
131.6972143,2141.587865
131.7014286,2140.526316
131.7056429,2139.473684
131.7098571,2131.131579
131.7140714,2115.120526
131.7182857,2072.231275
131.7225,2029.342024
131.7267143,1986.452773
131.7309286,1943.563522
131.7351429,1900.674271
131.7393571,1857.78502
131.7435714,1814.895769
131.7477857,1772.006518
131.752,1729.117267
131.7562143,1686.228016
131.7604286,1643.338765
131.7646429,1600.449514
131.7688571,1557.560263
131.7730714,1511.096908
131.7772857,1464.633553
131.7815,1418.170197
131.7857143,1371.706842
131.7899286,1325.243487
131.7941429,1278.780132
131.7983571,1232.316776
131.8025714,1185.853421
131.8067857,1139.390066
131.811,1092.926711
131.8152143,1046.463355
131.8194286,1000
131.8236429,916.6666667
131.8278571,833.3333333
131.8320714,750
131.8362857,666.6666667
131.8405,583.3333333
131.8447143,500
131.8489286,416.6666667
131.8531429,333.3333333
131.8573571,250
131.8615714,166.6666667
131.8657857,83.33333333
131.87,0
